fold,symbol,signal_date,entry_price,exit_price,stop_loss,take_profit,prob,rsi,exit_reason,pnl_pct
11,NFLX,2025-08-14,123.404,120.621,116.2468,131.1624,0.6955,61.77,timeout,-0.022552
11,NFLX,2025-08-29,119.7,124.476,116.0501,128.9548,0.6936,46.93,timeout,0.0399
11,NFLX,2025-09-09,126.397,119.4204,119.4204,133.8841,0.6652,66.7,stop_loss,-0.055196
11,NFLX,2025-09-17,122.082,120.395,112.9897,131.5125,0.6136,51.08,timeout,-0.013819
11,AMD,2025-07-01,135.53,138.41,126.4018,153.5464,0.6843,64.95,timeout,0.02125
11,AMD,2025-07-15,155.31,154.72,133.2836,172.2429,0.8053,71.27,timeout,-0.003799
11,AMD,2025-07-16,161.81,158.65,133.395,177.09,0.8232,70.91,timeout,-0.019529
11,AMD,2025-07-23,159.12,175.1393,141.0954,175.1393,0.6556,75.59,take_profit,0.100674
11,AMD,2025-08-19,164.1,166.62,152.9351,192.1143,0.6624,40.28,timeout,0.015356
11,AMD,2025-08-20,165.86,167.13,145.5857,190.5286,0.8775,41.43,timeout,0.007657
11,AMD,2025-08-26,166.04,162.13,150.7218,188.6164,0.6673,53.2,timeout,-0.023548
11,AMD,2025-08-29,158.42,152.3165,152.3165,181.6307,0.6528,40.8,stop_loss,-0.038527
11,AMD,2025-09-10,158.62,159.16,140.61,176.76,0.6807,43.1,timeout,0.003404
11,AVGO,2025-09-12,357.8178,342.9729,325.5528,403.814,0.6629,76.09,timeout,-0.041487
11,AVGO,2025-09-17,348.0041,337.9531,314.8489,393.6033,0.6047,66.16,timeout,-0.028882
11,AVGO,2025-09-25,336.0806,332.0568,306.6225,373.4931,0.6797,50.94,timeout,-0.011973
